AssessmentUnitID,WaterbodyName,Type,RiverBasin,County,Uses,Causes,Sources,Size,UnitType,DownstreamUpstreamLocations,YearListed,Priority,ReportYear,DraftTMDLDate,DateofData,SupportStatus,1996303(d)?
AL03150203-0110-100,Bogue Chitto Creek,R,Alabama,DallasPerry,Fish & Wildlife,Siltation,AgriculturePasture grazing,60.49,miles,Dannelly Lake /Its source,2010,L,2020,,,,
AL03150203-0805-101,Alabama River (Claiborne Lake),L,Alabama,Clarke MonroeWilcox,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,714.80,acres,McCalls Creek / Bear Creek,2008,L,2020,,,,
AL03150204-0101-111,Tallatchee Creek(Claiborne Lake),L,Alabama,Monroe,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,20.58,acres,Alabama River /end of embayment,2008,L,2020,,,,
AL03150204-0105-100,Alabama River(Claiborne Lake),L,Alabama,ClarkeMonroe,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,2051.55,acres,Claiborne Lock and Dam /McCalls Creek,2008,L,2020,,,,
AL03150204-0405-102,Alabama River,R,Alabama,ClarkeMonroe,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,12.35,miles,Pigeon Creek /Claiborne Lock and Dam,2012,L,2020,,,,
AL03150204-0405-103,Alabama River,R,Alabama,ClarkeMonroe,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,20.00,miles,River Mile 55 /River Mile 75,2020,L,2020,,,,
AL03160109-0101-150,Riley Maze Creek,R,Black Warrior,CullmanMarshall,Fish & Wildlife,Total Dissolved Solids,Municipal,4.13,miles,Tibb Creek /Its source,2006,H,2020,,,,
AL03160109-0101-600,Tibb Creek,R,Black Warrior,CullmanMarshall,Fish & Wildlife,Total Dissolved Solids,Municipal,5.13,miles,Mulberry Fork /Its source,2006,H,2020,,,,
AL03160109-0109-102,Mulberry Fork,R,Black Warrior,BlountCullman,Fish & Wildlife,Siltation,Agriculture,18.23,miles,Broglen River /Blount County Road 6,1998,L,2020,,,,
AL03160109-0203-101,Mulberry Fork,R,Black Warrior,Blount Cullman,Fish & Wildlife,Nutrients,Agriculture IndustrialMunicipal,2.52,miles,Marriott Creek / Mill Creek,1998,H,2020,,,,
AL03160109-0203-102,Mulberry Fork,R,Black Warrior,Blount Cullman,Fish & Wildlife,Nutrients,Agriculture IndustrialMunicipal,17.27,miles,Mill Creek / Broglen River,1998,H,2020,,,,
AL03160109-0203-102,Mulberry Fork,R,Black Warrior,Blount Cullman,Fish & Wildlife,Siltation,AgricultureIndustrial Municipal,17.27,miles,Mill Creek / Broglen River,1998,L,2020,,,,
AL03160109-0205-100,Mulberry Fork,R,Black Warrior,Blount Cullman,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Collection system failurePasture grazing,9.06,miles,Blount County Road 17 / Marriott Creek,2020,L,2020,,,,
AL03160109-0306-100,Spring Creek,R,Black Warrior,Walker,Fish & Wildlife,Total Dissolved Solids,Surface miningSurface mining-abandoned,7.90,miles,Blackwater Creek /Its source,2020,L,2020,,,,
AL03160109-0503-100,Wolf Creek,R,Black Warrior,FayetteWalker,SwimmingFish & Wildlife,Siltation,Surface mining-abandoned,38.40,miles,Lost Creek /Alabama Highway 102,1998,L,2020,,,,
AL03160109-0601-102,Cane Creek,R,Black Warrior,Walker,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,10.34,miles,Town Creek /Its source,2020,L,2020,,,,
AL03160109-0601-902,Town Creek,R,Black Warrior,Walker,Fish & Wildlife,Pathogens (E. coli),Collection system failure Urban runoff/storm sewer,6.27,miles,100 yards upstream of Southern Railway crossing /Its source,2020,L,2020,,,,
AL03160109-0602-601,Old Town Creek,R,Black Warrior,Walker,Fish & Wildlife,Siltation,Surface mining-abandoned,2.71,miles,Mulberry Fork /Pinhook Creek,2006,L,2020,,,,
AL03160109-0604-900,Baker Creek,R,Black Warrior,Walker,Fish & Wildlife,Siltation,Unknown source,7.01,miles,Mulberry Fork /Its source,2006,L,2020,,,,
AL03160110-0203-110,Inman Creek,R,Black Warrior,Winston,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,5.79,miles,Brushy Creek /Its source,2020,L,2020,,,,
AL03160110-0305-201,Clear Creek (Smith Lake),L,Black Warrior,Winston,Public Water Supply SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,346.47,acres,Sipsey Fork / Coon Creek,2010,L,2020,,,,
AL03160110-0306-201,Sipsey Fork(Smith Lake),L,Black Warrior,Winston,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,1321.71,acres,County Road 41 /Brushy Creek,2010,L,2020,,,,
AL03160110-0306-901,Butler Branch(Smith Lake),L,Black Warrior,Winston,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,119.74,acres,Sipsey Fork /end of embayment,2010,L,2020,,,,
AL03160110-0401-100,Blevens Creek,R,Black Warrior,CullmanWinston,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,19.14,miles,Rock Creek /Its source,2016,M,2020,,,,
AL03160110-0408-110,Rock Creek(Smith Lake),L,Black Warrior,CullmanWinston,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,1946.62,acres,Sipsey Fork /White Oak Creek,2010,L,2020,,,,
AL03160110-0505-103,Ryan Creek(Smith Lake),L,Black Warrior,Cullman,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,4547.96,acres,Coon Creek /Rock Creek,2010,L,2020,,,,
AL03160111-0106-100,Slab Creek,R,Black Warrior,Blount Marshall,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Collection system failurePasture grazing,24.98,miles,Locust Fork / Its source,2018,L,2020,,,,
AL03160111-0204-111,Blackburn Fork(Inland Lake),L,Black Warrior,Blount,Public Water SupplySwimming,Metals (Mercury),Atmospheric deposition,1389.78,acres,Inland Lake dam /extent of reservoir,2018,L,2020,,,,
AL03160111-0204-200,Brasher Creek,R,Black Warrior,Blount,Fish & Wildlife,Total Dissolved Solids,Surface mining-abandoned,5.09,miles,Blackburn Fork (Highland Lake) / Its source,2020,L,2020,,,,
AL03160111-0204-200,Brasher Creek,R,Black Warrior,Blount,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,5.09,miles,Blackburn Fork (Highland Lake) / Its source,2020,L,2020,,,,
AL03160111-0204-300,Sand Creek,R,Black Warrior,Blount,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Collection system failurePasture grazing,4.14,miles,Blackburn Fork (Highland Lake) / Its source,2020,L,2020,,,,
AL03160111-0407-103,Fivemile Creek,R,Black Warrior,Jefferson,SwimmingFish & Wildlife,Pathogens (E. coli),Collection system failureUrban runoff/storm sewers,9.07,miles,Alabama Highway 79 /Its source,2018,L,2020,,,,
AL03160111-0408-102,Village Creek,R,Black Warrior,Jefferson,Limited Warmwater Fishery,Pesticides (Dieldrin),Urban runoff/storm sewers,12.60,miles,Second Creek /Woodlawn Bridge,2006,L,2020,,,,
AL03160111-0408-103,Village Creek,R,Black Warrior,Jefferson,Limited Warmwater Fishery,Pesticides (Dieldrin),Urban runoff/storm sewers,4.04,miles,Woodlawn Bridge /Its source,2006,L,2020,,,,
AL03160112-0105-101,Mud Creek,R,Black Warrior,Jefferson,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,14.12,miles,Valley Creek /Big Branch,2020,L,2020,,,,
AL03160112-0105-102,Mud Creek,R,Black Warrior,Jefferson,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,7.70,miles,Big Branch /Its source,2020,L,2020,,,,
AL03160112-0106-111,Valley Creek (Bankhead Lake),L,Black Warrior,Jefferson,Public Water Supply SwimmingFish & Wildlife,Nutrients,Municipal,119.67,acres,Black Warrior River / end of embayment,2016,M,2020,,,,
AL03160112-0305-110,Daniel Creek,R,Black Warrior,Tuscaloosa,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,10.42,miles,Holt Lake /Its source,2018,L,2020,,,,
AL03160112-0305-110,Daniel Creek,R,Black Warrior,Tuscaloosa,Fish & Wildlife,Siltation,Surface mining-abandoned,10.42,miles,Holt Lake /Its source,2014,L,2020,,,,
AL03160112-0305-110,Daniel Creek,R,Black Warrior,Tuscaloosa,Fish & Wildlife,Total Dissolved Solids,Surface mining-abandoned,10.42,miles,Holt Lake /Its source,2014,L,2020,,,,
AL03160112-0410-111,Binion Creek(Lake Tuscaloosa),L,Black Warrior,Tuscaloosa,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,305.18,acres,North River /end of embayment,2010,L,2020,,,,
AL03160112-0411-101,North River(Lake Tuscaloosa),L,Black Warrior,Tuscaloosa,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,968.62,acres,Binion Creek /extent of reservoir,2010,L,2020,,,,
AL03160112-0413-102,North River(Lake Tuscaloosa),L,Black Warrior,Tuscaloosa,Public Water SupplySwimming,Metals (Mercury),Atmospheric deposition,3797.84,acres,Lake Tuscaloosa dam /Binion Creek,2010,L,2020,,,,
AL03160112-0503-100,Cottondale Creek,R,Black Warrior,Tuscaloosa,Fish & Wildlife,Pathogens (E. coli),On-site wastewater systemsPasture grazing,9.58,miles,Hurricane Creek /Its source,2016,M,2020,,,,
AL03160113-0201-100,Mill Creek,R,Black Warrior,Tuscaloosa,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,10.36,miles,Warrior Lake /Its source,2018,L,2020,,,,
AL03160113-0302-110,Elliotts Creek,R,Black Warrior,Hale,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,24.74,miles,Warrior Lake /Its source,2018,L,2020,,,,
AL03160113-0602-300,Carthage Branch,R,Black Warrior,Tuscaloosa,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,3.98,miles,Warrior Lake /Its source,2018,L,2020,,,,
AL03160113-0704-100,Cottonwood Creek,R,Black Warrior,Hale MarengoPerry,Fish & Wildlife,Organic enrichment(BOD),Municipal Pasture grazing,11.42,miles,Big Prairie Creek / Its source,2006,L,2020,,,,
AL03160113-0704-100,Cottonwood Creek,R,Black Warrior,Hale MarengoPerry,Fish & Wildlife,Siltation,Municipal Pasture grazing,11.42,miles,Big Prairie Creek / Its source,2006,L,2020,,,,
AL03160113-0704-100,Cottonwood Creek,R,Black Warrior,Hale MarengoPerry,Fish & Wildlife,Nutrients,Municipal Pasture grazing,11.42,miles,Big Prairie Creek / Its source,2006,L,2020,,,,
AL03160113-0708-100,Big Prairie Creek,R,Black Warrior,Hale Perry,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations AquaculturePasture grazing,44.16,miles,Lake Demopolis / Its source,2018,L,2020,,,,
AL03160113-0801-200,Needham Creek,R,Black Warrior,Greene,Fish & Wildlife,Total Dissolved Solids,Aquaculture,8.96,miles,Dollarhide Creek /Its source,2014,L,2020,,,,
AL03140104-0104-100,Blackwater River,R,Blackwater,Escambia,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,2.78,miles,AL-FL state line /Its source,2004,L,2020,,,,
AL03150202-0103-102,Little Cahaba River(Lake Purdy),L,Cahaba,JeffersonShelby,Public Water Supply,Metals (Mercury),Atmospheric deposition,961.95,acres,Lake Purdy dam /extent of reservoir,2018,L,2020,,,,
AL03150202-0103-103,Little Cahaba River,R,Cahaba,Jefferson,Fish & Wildlife,Total Dissolved Solids,Industrial,13.75,miles,Lake Purdy /Its source,2018,L,2020,,,,
AL03150202-0402-100,Mahan Creek,R,Cahaba,BibbChilton,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,15.47,miles,Little Cahaba River /Its source,2018,L,2020,,,,
AL03150202-0503-102,Cahaba River,R,Cahaba,Bibb,Outstanding Alabama Water Swimming,Pathogens (E. coli),Municipal Pasture grazingUrban runoff/storm sewers,10.58,miles,AL Highway 82 /lower Little Cahaba River,2016,H,2020,,,,
AL03150202-0503-102,Cahaba River,R,Cahaba,Bibb,Outstanding Alabama WaterSwimming,Metals (Mercury),Atmospheric deposition,10.58,miles,Alabama Highway 82 /lower Little Cahaba River,2020,L,2020,,,,
AL03150202-0505-100,Affonee Creek,R,Cahaba,Bibb,Swimming,Pathogens (E. coli),Pasture grazing,18.51,miles,Cahaba River /Its source,2018,L,2020,,,,
AL03150202-0506-200,Walton Creek,R,Cahaba,BibbPerry,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,5.45,miles,Cahaba River /Its source,2016,L,2020,,,,
AL03150202-0901-100,Childers Creek,R,Cahaba,Dallas,Fish & Wildlife,Siltation,Pasture grazing,18.79,miles,Cahaba River /Its source,2006,L,2020,,,,
AL03150202-0506-100,Cahaba River,R,Cahaba,BibbPerry,Outstanding Alabama WaterSwimming,Metals (Mercury),Atmospheric deposition,21.76,miles,Blue Girth Creek /Alabama Highway 82,2020,L,2020,,,,
AL03150202-0702-100,Cahaba River,R,Cahaba,Perry,Outstanding Alabama WaterSwimming,Metals (Mercury),Atmospheric deposition,27.25,miles,Waters Creek /Blue Girth Creek,2020,L,2020,,,,
AL03130002-0907-100,Moores Creek,R,Chattahoochee,Chambers,Fish & Wildlife,Pathogens (E. coli),Pasture grazingUrban runoff/storm sewers,11.40,miles,Chattahoochee River /Its source,2018,L,2020,,,,
AL03130002-0907-100,Moores Creek,R,Chattahoochee,Chambers,Fish & Wildlife,Siltation,Land development,11.40,miles,Chattahoochee River /Its source,2012,L,2020,,,,
AL03130002-1105-100,Osanippa Creek,R,Chattahoochee,ChambersLee,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,27.32,miles,Lake Harding /Its source,2018,L,2020,,,,
AL03130002-1106-100,UT to Halawakee Creek,R,Chattahoochee,Lee,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,14.19,miles,Halawakee Creek /Its source,2018,L,2020,,,,
AL03130002-1107-110,Halawakee Creek,R,Chattahoochee,Chambers Lee,Fish & Wildlife,Siltation,Land development,16.57,miles,Three miles upstream of County Road 79 /Its source,2012,L,2020,,,,
AL03130003-0505-101,Uchee Creek,R,Chattahoochee,Russell,SwimmingFish & Wildlife,Pathogens (E. coli),Collection system failure Pasture grazing,8.96,miles,Chattahoochee River (Walter F. George Lake) /Russell County Road 39,2020,L,2020,,,,
AL03130003-0505-102,Uchee Creek,R,Chattahoochee,Russell,Public Water Supply SwimmingFish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,11.59,miles,Russell County Road 39 / Island Creek,2018,L,2020,,,,
AL03130003-0505-111,Uchee Creek(Walter F George Lake),L,Chattahoochee,Russell,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,105.15,acres,Chattahoochee River /end of embayment,2010,L,2020,,,,
AL03130003-0605-100,Ihagee Creek,R,Chattahoochee,Russell,SwimmingFish & Wildlife,Pathogens (E. coli),Collection system failure On-site wastewater systemsPasture grazing,15.73,miles,Chattahoochee River / Its source,2016,L,2020,,,,
AL03130003-0605-100,Ihagee Creek,R,Chattahoochee,Russell,SwimmingFish & Wildlife,Siltation,Land developmentSilviculture activities,15.73,miles,Chattahoochee River /Its source,2012,L,2020,,,,
AL03130003-1204-100,South Fork Cowikee Creek,R,Chattahoochee,BarbourBullock,SwimmingFish & Wildlife,Pathogens (E. coli),Pasture grazing,30.39,miles,Walter F George Lake /Its source,2016,M,2020,,,,
AL03130003-1205-100,Cowikee Creek(Walter F George Lake),L,Chattahoochee,Barbour,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,1739.13,acres,Chattahoochee River /end of embayment,2010,L,2020,,,,
AL03130003-1307-100,Barbour Creek,R,Chattahoochee,Barbour,Fish & Wildlife,Siltation,Agriculture,18.77,miles,Walter F George Lake  /Its source,1998,L,2020,,,,
AL03130003-1307-111,Barbour Creek(Walter F George Lake),L,Chattahoochee,Barbour,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,656.59,acres,Chattahoochee River /end of embayment,2016,L,2020,,,,
AL03130003-1307-111,Barbour Creek(Walter F George Lake),L,Chattahoochee,Barbour,SwimmingFish & Wildlife,Siltation,Agriculture,656.59,acres,Chattahoochee River /end of embayment,1998,L,2020,,,,
AL03130003-1600-100,Chattahoochee River(Walter F George Lake),L,Chattahoochee,BarbourHenry,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,9797.21,acres,Walter F George dam /Cowikee Creek,2016,L,2020,,,,
AL03130004-0206-100,Bennett Mill Creek,R,Chattahoochee,Henry,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,5.88,miles,Chattahoochee River /Its source,2016,M,2020,,,,
AL03130004-0403-110,Peterman Creek,R,Chattahoochee,Henry,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,12.43,miles,Abbie Creek /Its source,2016,L,2020,,,,
AL03130004-0405-100,Abbie Creek,R,Chattahoochee,Barbour Henry,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations MunicipalPasture grazing,42.53,miles,Chattahoochee River / Its source,2016,L,2020,,,,
AL03130004-0602-500,Cedar Creek,R,Chattahoochee,HenryHouston,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,4.04,miles,Omusee Creek /Its source,2008,L,2020,,,,
AL03130004-0801-100,Chattahoochee River,R,Chattahoochee,Houston,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,14.14,miles,AL-FL state line /Woods Branch,2016,L,2020,,,,
AL03130012-0101-100,Limestone Creek,R,Chipola,Houston,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,10.80,miles,Big Creek /Its source,2018,L,2020,,,,
AL03130012-0101-410,Cypress Creek,R,Chipola,Houston,Fish & Wildlife,Nutrients,MunicipalUrban runoff/storm sewers,8.11,miles,Limestone Creek /Its source,1998,L,2020,,,,
AL03130012-0101-410,Cypress Creek,R,Chipola,Houston,Fish & Wildlife,Organic enrichment(BOD),MunicipalUrban runoff/storm sewers,8.11,miles,Limestone Creek /Its source,1998,L,2020,,,,
AL03130012-0201-310,Webb Creek,R,Chipola,Houston,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,10.22,miles,Cowarts Creek /Its source,2020,L,2020,,,,
AL03130012-0201-410,Cooper Creek,R,Chipola,Houston,Fish & Wildlife,Nutrients,Animal feeding operations Pasturegrazing,3.13,miles,Cowarts Creek /Its source,2020,L,2020,,,,
AL03130012-0201-410,Cooper Creek,R,Chipola,Houston,Fish & Wildlife,Organic enrichment(BOD),Animal feeding operations Pasturegrazing,3.13,miles,Cowarts Creek /Its source,2020,L,2020,,,,
AL03130012-0201-410,Cooper Creek,R,Chipola,Houston,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasturegrazing,3.13,miles,Cowarts Creek /Its source,2020,L,2020,,,,
AL03130012-0202-100,Rocky Creek,R,Chipola,Houston,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,11.70,miles,Cowarts Creek /Its source,2020,L,2020,,,,
AL03130012-0202-210,Bruners Gin Creek,R,Chipola,Houston,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,5.43,miles,Rocky Creek /Its source,2018,L,2020,,,,
AL03130012-0203-110,Cowarts Creek,R,Chipola,Houston,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations MunicipalPasture grazing,21.72,miles,AL-FL state line / Its source,2016,M,2020,,,,
AL03140201-0203-200,Panther Creek,R,Choctawhatchee,Dale Henry,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,7.63,miles,East Fork Choctawhatchee River / Its source,2018,L,2020,,,,
AL03140201-0304-110,Judy Creek,R,Choctawhatchee,Barbour Dale,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,23.64,miles,West Fork Choctawhatchee River /Its source,2018,L,2020,,,,
AL03140201-0401-100,Lindsey Creek,R,Choctawhatchee,Barbour,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,12.48,miles,West Fork Choctawhatchee River / Its source,2018,L,2020,,,,
AL03140201-0402-300,Pauls Creek,R,Choctawhatchee,Barbour,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,7.59,miles,West Fork Choctawhatchee River / Its source,2018,L,2020,,,,
AL03140201-0403-110,Sikes Creek,R,Choctawhatchee,Barbour Dale,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,13.07,miles,West Fork Choctawhatchee River / Its source,2020,L,2020,,,,
AL03140201-0406-100,West Fork ChoctawhatcheeRiver,R,Choctawhatchee,BarbourDale,SwimmingFish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,32.53,miles,Judy Creek /Its source,2016,M,2020,,,,
AL03140201-0407-101,West Fork Choctawhatchee River,R,Choctawhatchee,Dale,SwimmingFish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,5.08,miles,Choctawhatchee River /falls 1/2 mile upstream of AL Highway 27,2016,M,2020,,,,
AL03140201-0407-102,West Fork Choctawhatchee River,R,Choctawhatchee,Dale,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,1.79,miles,falls 1/2 mile upstream of AL Highway 27 /Judy Creek,2016,M,2020,,,,
AL03140201-0407-400,Big Creek,R,Choctawhatchee,Dale,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasture grazing,6.53,miles,West Fork Choctawhatchee River /Its source,2016,L,2020,,,,
AL03140201-0602-200,Killebrew Factory Creek,R,Choctawhatchee,Dale,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,3.52,miles,Choctawhatchee River /Its source,2018,L,2020,,,,
AL03140201-0701-300,Bear Creek,R,Choctawhatchee,Dale,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,12.37,miles,Little Claybank Creek /Its source,2018,L,2020,,,,
AL03140201-0702-100,Claybank Creek,R,Choctawhatchee,Dale,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,11.64,miles,Lake Tholocco /Its source,2018,L,2020,,,,
AL03140201-0901-100,Harrand Creek,R,Choctawhatchee,CoffeeDale,Fish & Wildlife,Siltation,Urban runoff/storm sewers,9.71,miles,Claybank Creek /Its source,2006,L,2020,,,,
AL03140201-0901-200,Indian Camp Creek,R,Choctawhatchee,Coffee,Fish & Wildlife,Siltation,Land developmentUrban runoff/storm sewers,3.98,miles,Harrand Creek /Its source,2004,L,2020,,,,
AL03140201-0904-300,Brackin Mill Creek,R,Choctawhatchee,CoffeeDale,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,4.90,miles,Claybank Creek /Its source,2018,L,2020,,,,
AL03140201-1001-300,Pine Log Branch,R,Choctawhatchee,Geneva,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,4.09,miles,Hurricane Creek /Its source,2018,L,2020,,,,
AL03140201-1002-100,Pates Creek,R,Choctawhatchee,GenevaHouston,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,8.51,miles,Choctawhatchee River /Its source,2018,L,2020,,,,
AL03140201-1003-102,Choctawhatchee River,R,Choctawhatchee,DaleHouston,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,6.45,miles,Alabama Highway 12 /Brooking Mill Creek,2010,L,2020,,,,
AL03140201-1004-300,Hurricane Creek,R,Choctawhatchee,Geneva,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Collection system failurePasture grazing,15.66,miles,Choctawhatchee River / Its source,2018,L,2020,,,,
AL03140201-1004-600,Dowling Branch,R,Choctawhatchee,Geneva,Fish & Wildlife,Organic enrichment(BOD),Agriculture MunicipalUrban runoff/storm sewers,2.10,miles,Cox Mill Creek / Its source,1998,L,2020,,,,
AL03140201-1104-100,Double Bridges Creek,R,Choctawhatchee,Coffee,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Pasturegrazing,15.14,miles,Coffee County Road 655 /Its source,2020,L,2020,,,,
AL03140201-1203-101,Choctawhatchee River,R,Choctawhatchee,Dale GenevaHouston,SwimmingFish & Wildlife,Pathogens (E. coli),Animal feeding operations Collection system failurePasture grazing,29.07,miles,Pea River /Alabama Highway 12,2018,L,2020,,,,
AL03140201-1203-101,Choctawhatchee River,R,Choctawhatchee,Dale GenevaHouston,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,29.07,miles,Pea River /Alabama Highway 12,2010,L,2020,,,,
AL03140202-0202-110,Spring Creek,R,Choctawhatchee,Bullock,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,11.13,miles,Pea River /Its source,2018,L,2020,,,,
AL03140202-0204-110,Big Sandy Creek,R,Choctawhatchee,Bullock,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,11.32,miles,Pea River /Its source,2018,L,2020,,,,
AL03140202-0301-200,Buckhorn Creek,R,Choctawhatchee,Pike,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,15.97,miles,Pea River /Its source,2016,L,2020,,,,
AL03140202-0504-200,Huckleberry Creek,R,Choctawhatchee,CoffeeDale,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,3.47,miles,Pea River /Its source,2016,L,2020,,,,
AL03140202-0505-100,Pea River,R,Choctawhatchee,CoffeeDale,SwimmingFish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,10.85,miles,Halls Creek /US Highway 231,2016,M,2020,,,,
AL03140202-0505-200,Halls Creek,R,Choctawhatchee,Coffee,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,5.54,miles,Pea River /Its source,2018,L,2020,,,,
